2,83,24735690,59429990,,235,1302,Z,80,Mustamäe
2,8,24656830,59426070,,241,1304,Z,174,Väike-Õismäe
2,18A,24670830,59374550,,247,1305,Z,75,Urda
2,42,24635600,59412680,,146,1316,Z,138,Väike-Õismäe
2,36,24700930,59388220,,73,1317,Z,151,Viru
2,45,24766510,59419460,,235,1350,Z,60,Väike-Õismäe
2,45,24719180,59391540,,66,1351,Z,17,Ülemiste
2,21A,24623080,59440140,,318,1353,Z,53,Kakumäe
2,45,24654090,59414120,,26,1354,Z,39,Ülemiste
2,8,24693370,59429570,,87,1355,Z,69,Äigrumäe
2,36,24744900,59430280,,36,1384,Z,133,Viru
2,67,24897000,59445240,,0,1401,Z,42,Seli
2,45,24678710,59391510,,332,1408,Z,120,Väike-Õismäe
2,13,24799200,59418200,,144,1415,Z,22,Väike-Õismäe
2,83,24683600,59398890,,79,1419,Z,139,Kaubamaja
2,18,24740440,59416550,,11,1421,Z,16,Viru keskus
2,40,24895360,59447670,,199,1422,Z,130,Priisle
2,67,24894360,59444970,,268,1424,Z,13,Sütiste
2,42,24650330,59418600,,311,1425,Z,113,Priisle
2,36,24635480,59412040,,124,1427,Z,116,Väike-Õismäe
2,12,24751470,59409410,,235,1428,Z,14,Väike-Õismäe
2,23,24686810,59387450,,110,1438,Z,15,Bussijaam
2,1,24759770,59439210,,24,1442,Z,90,Viru keskus
2,18A,24695000,59379420,,63,1449,Z,58,Viru keskus
2,14,24642890,59391720,,13,1474,Z,61,Vana-Pääsküla
2,11,24661160,59408110,,129,1475,Z,64,Kadaka
2,9,24660890,59408320,,133,1477,Z,30,Kadaka
2,83,24732830,59429090,,64,1486,Z,165,Kaubamaja
2,13,24895300,59447770,,100,1491,Z,45,Priisle
2,67,24684150,59395130,,137,1492,Z,131,Sütiste
2,23,24772700,59426850,,105,1494,Z,95,Bussijaam
2,66,24758940,59440160,,288,1500,Z,67,Pelguranna
2,3,24738690,59445900,,296,1506,Z,127,Pelguranna
2,13,24699930,59404190,,215,1516,Z,10,Väike-Õismäe
2,18A,24752470,59436430,,197,1518,Z,23,Urda
2,36,24682380,59389870,,339,1520,Z,26,Väike-Õismäe
2,67,24699970,59396580,,125,1546,Z,72,Seli
2,18,24732660,59406100,,206,1561,Z,79,Laagri
2,23,24730440,59419230,,166,1563,Z,78,Kadaka
2,37,24658740,59400790,,223,1742,Z,32,Mustamäe
2,21B,24707200,59428940,,295,1744,Z,35,Kakumäe
2,8,24635210,59412270,,148,1747,Z,84,Väike-Õismäe
2,8,24775690,59442600,,248,1813,Z,166,Väike-Õismäe
2,24,24658380,59410590,,353,1829,Z,240,Kadaka
2,20A,24610480,59351400,,181,1861,Z,13,Laagri alevik
2,18,24658020,59410050,,228,1888,Z,46,Viru keskus
2,9,24660000,59408950,,140,1908,Z,90,Kadaka
2,41,24740820,59440870,,46,1942,Z,24,Balti jaam
2,24,24751870,59434280,,75,1956,Z,182,Kadaka
2,41,24647600,59423860,,243,1957,Z,39,Landi
2,59,24716910,59453010,,327,1960,Z,29,Pikakari
2,24,24656140,59404950,,54,1961,Z,122,Kadaka
2,28,24658010,59410950,,300,1969,Z,112,Vana-Lõuna
2,16,24703380,59427990,,196,2032,Z,112,Väike-Õismäe
2,73,24745570,59431580,,7,2034,Z,67,Kopli liinid
2,25,24660800,59410050,,122,2061,Z,65,Reisisadama D-terminal
2,27,24640550,59412800,,317,2064,Z,62,Harkujärve
2,73,24676890,59461030,,22,2065,Z,161,Kopli liinid
2,61,24710580,59402140,,117,2068,Z,99,Järve haigla
2,81,24692950,59416670,,25,2069,Z,49,Kaubamaja
2,81,24736720,59431910,,124,2070,Z,23,Kaubamaja
2,25,24594560,59432440,,116,2073,Z,53,Reisisadama D-terminal
2,81,24696500,59420640,,204,2074,Z,134,Mustamäe
2,5,24719350,59388390,,28,2100,Z,179,Metsakooli tee
2,81,24658680,59400580,,216,2122,Z,78,Mustamäe
2,5,24878650,59454820,,260,2123,Z,136,Männiku
2,61,24662510,59411460,,67,2126,Z,36,Kotermaa
2,10,24668890,59404520,,164,2132,Z,111,Vana-Pääsküla
2,73,24747940,59427900,,73,2133,Z,92,Vana-Lõuna
2,20,24751830,59436250,,236,2134,Z,47,Pääsküla jaam
2,73,24741520,59420150,,306,2140,Z,114,Vana-Lõuna
2,12,24634830,59412690,,197,2148,Z,146,Väike-Õismäe
2,72,24719640,59426960,,38,2181,Z,199,Kopli
2,72,24690140,59399720,,78,2188,Z,225,Kopli
2,72,24681580,59398820,,259,2189,Z,98,Keskuse
2,27,24586700,59417400,,36,2194,Z,35,Laagri alevik
2,61,24615730,59404700,,212,2198,Z,20,Kotermaa
2,73,24741630,59420090,,330,2199,Z,44,Vana-Lõuna
2,32,24659420,59411690,,231,2208,Z,10,Männiku
2,61,24646920,59411090,,102,2209,Z,77,Järve haigla
2,27,24663250,59410030,,28,2212,Z,48,Harkujärve
2,32,24659550,59411710,,308,2221,Z,30,Männiku
2,33,24673950,59393660,,332,2224,Z,73,Kopli
2,4,24660880,59411420,,305,2228,Z,52,Väike-Õismäe
2,10,24660960,59411400,,110,2234,Z,124,Väike-Õismäe
2,34,24759710,59439200,,59,2246,Z,18,Viru keskus
2,61,24682430,59408870,,287,2253,Z,54,Kotermaa
2,33,24673130,59384550,,236,2254,Z,16,Männiku
2,1,24656730,59410090,,53,2255,Z,108,Viru keskus
2,5,24805290,59449540,,36,2258,Z,109,Metsakooli tee
2,5,24656870,59410340,,315,2287,Z,58,Männiku
2,20,24757600,59436260,,0,2291,Z,74,Reisisadama D-terminal
2,32,24661380,59411580,,100,2292,Z,50,Männiku
2,10,24673200,59395540,,349,2293,Z,70,Väike-Õismäe
2,14,24661250,59411670,,77,2294,Z,10,Viru keskus
2,27,24647910,59375220,,222,2307,Z,15,Laagri alevik
2,84,24680380,59399450,,148,2311,Z,90,Keskuse
2,14,24661270,59411630,,59,2323,Z,22,Viru keskus
2,2,24660580,59408570,,92,2324,Z,134,Balti jaam
2,16,24689210,59414450,,116,2331,Z,53,Tallinn-Väike
2,26,24634580,59412390,,176,2333,Z,58,Väike-Õismäe
